0,0
36,541
210,366
101,318
813,408
534,347
169,201
788,182
303,167
114,546
282,273
122,244
709,306
197,507
128,516
544,522
150,199
41,144
797,326
374,506
69,414
729,14
89,212
576,439
735,573
655,565
140,159
496,93
783,345
176,335
153,80
619,41
37,364
459,436
385,405
335,444
264,406
274,211
258,246
328,181
491,79
533,275
497,1
2,296
30,560
714,226
481,99
283,512
730,377
89,173
98,336
305,212
224,93
298,379
165,500
212,343
132,325
656,411
296,5
645,265
633,523
307,224
369,516
369,105
701,130
104,120
464,487
744,226
784,182
753,511
191,184
342,447
233,491
748,428
394,175
439,245
429,368
664,340
704,557
633,222
13,315
310,337
728,266
747,566
619,353
137,482
775,542
715,64
1,231
274,305
532,203
158,289
195,370
281,474
591,258
196,466
173,56
449,559
82,385
846,574
